bank,year,report_type,sentence_id,original_sentence,tokenized_sentence,cleaned_sentence,word_count,char_count,original_predicted_topic,original_predicted_pillar,original_pillar_confidence,original_topic_confidence,cleaned_predicted_topic,cleaned_predicted_pillar,cleaned_pillar_confidence,cleaned_topic_confidence
vietcombank,2024,bctn,0,"| MỤC LỤC | Thông tin chung | 04 | Báo cáo của Ban Tổng Giám đốc | 48 | |---------------------------------------------------------------------|------|-------------------------------------------------------------------|------| | Thông điệp của Chủ tịch Hội đồng thành viên và Tổng Giám đốc | 06 | Đánh giá kết quả hoạt động kinh doanh năm 2024 | 50 | | Thông tin khái quát | 08 | • Khách hàng Tổ chức | 50 | | Quá trình hình thành và phát triển | 10 | • Khách hàng doanh nghiệp | 52 | | Ngành nghề và địa bàn kinh doanh | 22 | • Khách hàng cá nhân | 54 | | Thông tin về mô hình quản trị, tổ chức kinh doanh và bộ máy quản lý | 24 | Tình hình tài chính năm 2024 | 56 | | Định hướng phát triển | 24 | Những cải tiến về cơ cấu tổ chức, chính sách, quản l | 56 | | Các rủi ro và Công tác Quản trị rủi ro | 25 | Kế hoạch phát triển trong tương lai | 56 | | | | Báo cáo đánh giá liên quan đến trách nhiệm về môi trường và xã hộ | 57 | | Tình hình hoạt động trong năm 2024 | 28 | Quản trị công ty | 58 | | Tổng quan về kinh tế và thị trường chứng khoán Việt Nam năm 2024 | 30 | Hội đồng thành viên | 60 | | Tình hình hoạt động kinh doanh năm 2024 | 33 | Ban kiểm soát | 60 | | Tổ chức và nhân sự | 33 | Các giao dịch, thù lao và các khoản lợi ích của Hội đồng thành viên Ban Tổng Giám đốc và Ban kiểm soát | 61 | | Tình hình đầu tư, tình hình thực hiện các dự án | 40 | | | | Tình hình tài chính | 40 | Mạng lưới hoạt động | 62 | | Cơ cấu cổ đông, thay đổi vốn đầu tư của chủ sở hữu | 42 | | 62 | | Báo cáo tác động liên quan đến môi trường và xã hội của công ty | 43 | Báo cáo tài chính kiểm toán | 64 | | 01 THÔNG TIN CHUNG | Thông điệp của Chủ tịch Hội đồng thành viên | 06 | |---------------------------------------------------------------------|------| | Thông tin khái quát | 08 | | Quá trình hình thành và phát triển | 10 | | Ngành nghề và địa bàn kinh doanh | 22 | | Thông tin về mô hình quản trị, tổ chức kinh doanh và bộ máy quản lý | 24 | | Định hướng phát triển | 24 | | Các rủi ro và Công tác Quản trị rủi ro | 25 | THÔNG ĐIỆP CỦA CHỦ TỊCH HỘI ĐỒNG THÀNH VIÊN Năm 2024 tiếp tục chứng kiến những biến động mạnh mẽ về bối cảnh kinh tế và địa chính trị toàn cầu.","| MỤC_LỤC | Thông_tin chung | 04 | Báo_cáo của Ban Tổng_Giám_đốc | 48 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - | | Thông_điệp của Chủ_tịch Hội_đồng thành_viên và Tổng_Giám_đốc | 06 | Đánh_giá kết_quả hoạt_động kinh_doanh năm 2024 | 50 | | Thông_tin khái_quát | 08 | • Khách_hàng Tổ_chức | 50 | | Quá_trình hình_thành và phát_triển | 10 | • Khách_hàng doanh_nghiệp | 52 | | Ngành_nghề và địa_bàn kinh_doanh | 22 | • Khách_hàng cá_nhân | 54 | | Thông_tin về mô_hình quản_trị , tổ_chức kinh_doanh và bộ_máy quản_lý | 24 | Tình_hình tài_chính năm 2024 | 56 | | Định_hướng phát_triển | 24 | Những cải_tiến về cơ_cấu tổ_chức , chính_sách , quản l | 56 | | Các rủi_ro và Công_tác Quản_trị rủi_ro | 25 | Kế_hoạch phát_triển trong tương_lai | 56 | | | | Báo_cáo đánh_giá liên_quan đến trách_nhiệm về môi_trường và xã hộ | 57 | | Tình_hình hoạt_động trong năm 2024 | 28 | Quản_trị công_ty | 58 | | Tổng_quan về kinh_tế và thị_trường_chứng_khoán Việt_Nam năm 2024 | 30 | Hội_đồng thành_viên | 60 | | Tình_hình hoạt_động kinh_doanh năm 2024 | 33 | Ban kiểm_soát | 60 | | Tổ_chức và nhân_sự | 33 | Các giao_dịch , thù_lao và các khoản lợi_ích của Hội_đồng thành_viên Ban Tổng_Giám_đốc và Ban kiểm_soát | 61 | | Tình_hình đầu_tư , tình_hình thực_hiện các dự_án | 40 | | | | Tình_hình tài_chính | 40 | Mạng_lưới hoạt_động | 62 | | Cơ_cấu cổ_đông , thay_đổi vốn đầu_tư của chủ_sở_hữu | 42 | | 62 | | Báo_cáo tác_động liên_quan đến môi_trường và xã_hội của công_ty | 43 | Báo_cáo tài_chính kiểm_toán | 64 | | 01 THÔNG_TIN CHUNG | Thông_điệp của Chủ_tịch Hội_đồng thành_viên | 06 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - | | Thông_tin khái_quát | 08 | | Quá_trình hình_thành và phát_triển | 10 | | Ngành_nghề và địa_bàn kinh_doanh | 22 | | Thông_tin về mô_hình quản_trị , tổ_chức kinh_doanh và bộ_máy quản_lý | 24 | | Định_hướng phát_triển | 24 | | Các rủi_ro và Công_tác Quản_trị rủi_ro | 25 | THÔNG_ĐIỆP CỦA CHỦ_TỊCH HỘI_ĐỒNG THÀNH_VIÊN Năm 2024 tiếp_tục chứng_kiến những biến_động mạnh_mẽ về bối_cảnh kinh_tế và địa_chính_trị toàn_cầu .",mục_lục thông_tin chung 04 báo_cáo của ban tổng_giám_đốc 48 thông_điệp của chủ_tịch hội_đồng thành_viên và tổng_giám_đốc 06 đánh_giá kết_quả hoạt_động kinh_doanh năm 2024 50 thông_tin khái_quát 08 khách_hàng tổ_chức 50 quá_trình hình_thành và phát_triển 10 khách_hàng doanh_nghiệp 52 ngành_nghề và địa_bàn kinh_doanh 22 khách_hàng cá_nhân 54 thông_tin về mô_hình quản_trị tổ_chức kinh_doanh và bộ_máy quản_lý 24 tình_hình tài_chính năm 2024 56 định_hướng phát_triển 24 những cải_tiến về cơ_cấu tổ_chức chính_sách quản 56 các rủi_ro và công_tác quản_trị rủi_ro 25 kế_hoạch phát_triển trong tương_lai 56 báo_cáo đánh_giá liên_quan đến trách_nhiệm về môi_trường và xã hộ 57 tình_hình hoạt_động trong năm 2024 28 quản_trị công_ty 58 tổng_quan về kinh_tế và thị_trường_chứng_khoán việt_nam năm 2024 30 hội_đồng thành_viên 60 tình_hình hoạt_động kinh_doanh năm 2024 33 ban kiểm_soát 60 tổ_chức và nhân_sự 33 các giao_dịch thù_lao và các khoản lợi_ích của hội_đồng thành_viên ban tổng_giám_đốc và ban kiểm_soát 61 tình_hình đầu_tư tình_hình thực_hiện các dự_án 40 tình_hình tài_chính 40 mạng_lưới hoạt_động 62 cơ_cấu cổ_đông thay_đổi vốn đầu_tư của chủ_sở_hữu 42 62 báo_cáo tác_động liên_quan đến môi_trường và xã_hội của công_ty 43 báo_cáo tài_chính kiểm_toán 64 01 thông_tin chung thông_điệp của chủ_tịch hội_đồng thành_viên 06 thông_tin khái_quát 08 quá_trình hình_thành và phát_triển 10 ngành_nghề và địa_bàn kinh_doanh 22 thông_tin về mô_hình quản_trị tổ_chức kinh_doanh và bộ_máy quản_lý 24 định_hướng phát_triển 24 các rủi_ro và công_tác quản_trị rủi_ro 25 thông_điệp của chủ_tịch hội_đồng thành_viên năm 2024 tiếp_tục chứng_kiến những biến_động mạnh_mẽ về bối_cảnh kinh_tế và địa_chính_trị toàn_cầu,241,1699,Chính sách Công,Quản trị,0.6386904716491699,0.3701931834220886,Tuân thủ Kinh tế Xã hội,Quản trị,0.6303977966308594,0.3264251947402954
vietcombank,2024,bctn,1,"Tăng trưởng kinh tế có cải thiện, nhưng sự phân hóa giữa các khu vực ngày càng rõ rệt.","Tăng_trưởng kinh_tế có cải_thiện , nhưng sự phân_hoá giữa các khu_vực ngày_càng rõ_rệt .",tăng_trưởng kinh_tế có cải_thiện nhưng sự phân_hoá giữa các khu_vực ngày_càng rõ_rệt,12,84,Hiệu quả Kinh tế,Quản trị,0.7240100502967834,0.5161529183387756,Hiệu quả Kinh tế,Quản trị,0.6910068392753601,0.4854639768600464
vietcombank,2024,bctn,2,"Trong khi các nền kinh tế phát triển thu hút dòng vốn mạnh mẽ, các nền kinh tế đang phát triển phải đối mặt với sự phục hồi chậm chạp và dòng vốn tháo chạy.","Trong khi các nền kinh_tế phát_triển thu_hút dòng vốn mạnh_mẽ , các nền kinh_tế đang phát_triển phải đối_mặt với sự phục_hồi chậm_chạp và dòng vốn tháo_chạy .",trong khi các nền kinh_tế phát_triển thu_hút dòng vốn mạnh_mẽ các nền kinh_tế đang phát_triển phải đối_mặt với sự phục_hồi chậm_chạp và dòng vốn tháo_chạy,25,154,Tuân thủ Kinh tế Xã hội,Quản trị,0.6033543944358826,0.34574127197265625,Hiệu quả Kinh tế,Quản trị,0.5762932896614075,0.3800323009490967
vietcombank,2024,bctn,3,"Các cuộc xung đột quân sự kéo dài, như Nga – Ukraine và tình hình căng thẳng tại Trung Đông, tiếp tục gây gián đoạn chuỗi cung ứng toàn cầu, ảnh hưởng đến giá cả và tăng trưởng kinh tế.","Các cuộc xung_đột quân_sự kéo_dài , như Nga – Ukraine và tình_hình căng_thẳng tại Trung_Đông , tiếp_tục gây gián_đoạn chuỗi cung_ứng toàn_cầu , ảnh_hưởng đến giá_cả và tăng_trưởng kinh_tế .",các cuộc xung_đột quân_sự kéo_dài như nga ukraine và tình_hình căng_thẳng tại trung_đông tiếp_tục gây gián_đoạn chuỗi cung_ứng toàn_cầu ảnh_hưởng đến giá_cả và tăng_trưởng kinh_tế,25,179,Hiệu quả Kinh tế,Quản trị,0.8835394382476807,0.5842100381851196,Hiệu quả Kinh tế,Quản trị,0.9128434062004089,0.4486130475997925
vietcombank,2024,bctn,4,"Thị trường Chứng khoán Việt Nam, trước những thách thức của nền kinh tế thế giới, tiếp tục đánh dấu một năm nhiều thăng trầm.","Thị_trường_Chứng_khoán Việt_Nam , trước những thách_thức của nền kinh_tế thế_giới , tiếp_tục đánh_dấu một năm nhiều thăng_trầm .",thị_trường_chứng_khoán việt_nam trước những thách_thức của nền kinh_tế thế_giới tiếp_tục đánh_dấu một năm nhiều thăng_trầm,15,122,Tuân thủ Kinh tế Xã hội,Quản trị,0.6578310132026672,0.23376606404781342,Hiệu quả Kinh tế,Quản trị,0.5103409886360168,0.2505957782268524
vietcombank,2024,bctn,5,"Mặc dù có khởi đầu tương đối thuận lợi và tích cực, VN-Index ghi nhận xu hướng giảm dần từ đầu Q2/2024 cho đến giai đoạn cuối năm, sau đó kết thúc năm 2024 ở 1.266,78 điểm, tăng 12,1% so với 2023 với thanh khoản thị trường đạt bình quân 21.027 tỷ/phiên trên cả ba sàn.","Mặc_dù có khởi_đầu tương_đối thuận_lợi và tích_cực , VN-Index ghi_nhận xu_hướng giảm dần từ đầu Q 2/2024 cho đến giai_đoạn cuối năm , sau đó kết_thúc năm 2024 ở 1.266,78 điểm , tăng 12,1% so với 2023 với thanh khoản thị_trường đạt bình_quân 21.027 tỷ / phiên trên cả ba sàn .","mặc_dù có khởi_đầu tương_đối thuận_lợi và tích_cực vn-index ghi_nhận xu_hướng giảm dần từ đầu 2/2024 cho đến giai_đoạn cuối năm sau đó kết_thúc năm 2024 1.266,78 điểm tăng 12,1% so với 2023 với thanh khoản thị_trường đạt bình_quân 21.027 tỷ phiên trên cả ba sàn",45,261,Chính sách Công,Quản trị,0.4834270775318146,0.24478954076766968,Đánh giá Nhân quyền,Xã hội,0.4700695276260376,0.24247616529464722
vietcombank,2024,bctn,6,"Mặc dù phải đối mặt với những diễn biến phức tạp và khó lường của thị trường Chứng khoán, VCBS đã đạt được những kết quả kinh doanh tích cực so với các công ty trên thị trường.","Mặc_dù phải đối_mặt với những diễn_biến phức_tạp và khó lường của thị_trường_Chứng_khoán , VCBS đã đạt được những kết_quả kinh_doanh tích_cực so với các công_ty trên thị_trường .",mặc_dù phải đối_mặt với những diễn_biến phức_tạp và khó lường của thị_trường_chứng_khoán vcbs đã đạt được những kết_quả kinh_doanh tích_cực so với các công_ty trên thị_trường,26,174,Tuân thủ Kinh tế Xã hội,Quản trị,0.5931090116500854,0.3914025127887726,Việc làm,Xã hội,0.7173078060150146,0.2658437192440033
vietcombank,2024,bctn,7,"Tổng doanh thu của Công ty đạt 1.519,7 tỷ đồng với tổng lợi nhuận trước thuế đạt 633,76 tỷ đồng.","Tổng doanh_thu của Công_ty đạt 1.519,7 tỷ đồng với tổng lợi_nhuận trước thuế đạt 633,76 tỷ đồng .","tổng doanh_thu của công_ty đạt 1.519,7 tỷ đồng với tổng lợi_nhuận trước thuế đạt 633,76 tỷ đồng",17,95,Chính sách Công,Quản trị,0.6558233499526978,0.2895398437976837,Chính sách Công,Quản trị,0.6767957210540771,0.37020814418792725
vietcombank,2024,bctn,8,"Về thị phần kinh doanh, năm 2025, VCBS lọt top 10 Công ty Chứng khoán (CTCK) có thị phần môi giới cổ phiếu lớn nhất trên cả ba sàn HOSE, HNX và UPCoM.","Về thị_phần kinh_doanh , năm 2025 , VCBS lọt top 10 Công_ty Chứng_khoán ( CTCK ) có thị_phần môi_giới cổ_phiếu lớn nhất trên cả ba sàn HOSE , HNX và UPCoM .",về thị_phần kinh_doanh năm 2025 vcbs lọt top 10 công_ty chứng_khoán ctck có thị_phần môi_giới cổ_phiếu lớn nhất trên cả ba sàn hose hnx và upcom,26,144,Việc làm,Xã hội,0.4449765384197235,0.21278226375579834,Sức khỏe Tài chính và Hòa nhập,Xã hội,0.49563413858413696,0.25935330986976624
vietcombank,2024,bctn,9,"Bên cạnh đó, đối với công tác phát triển và mở rộng tập khách hàng VCBS cũng đạt được những thành tựu nhất định.","Bên cạnh đó , đối_với công_tác phát_triển và mở_rộng tập khách_hàng VCBS cũng đạt được những thành_tựu nhất_định .",bên cạnh đó đối_với công_tác phát_triển và mở_rộng tập khách_hàng vcbs cũng đạt được những thành_tựu nhất_định,17,110,Tuân thủ Kinh tế Xã hội,Quản trị,0.590469479560852,0.6183165907859802,Việc làm,Xã hội,0.6100579500198364,0.36800265312194824
