sentence,predicted_topic,predicted_pillar,pillar_confidence,topic_confidence
mục_lục thông_tin chung 04 báo_cáo của ban tổng_giám_đốc 48 thông_điệp của chủ_tịch hội_đồng thành_viên và tổng_giám_đốc 06 đánh_giá kết_quả hoạt_động kinh_doanh năm 2024 50 thông_tin khái_quát 08 khách_hàng tổ_chức 50 quá_trình hình_thành và phát_triển 10 khách_hàng doanh_nghiệp 52 ngành_nghề và địa_bàn kinh_doanh 22 khách_hàng cá_nhân 54 thông_tin về mô_hình quản_trị tổ_chức kinh_doanh và bộ_máy quản_lý 24 tình_hình tài_chính năm 2024 56 định_hướng phát_triển 24 những cải_tiến về cơ_cấu tổ_chức chính_sách quản 56 các rủi_ro và công_tác quản_trị rủi_ro 25 kế_hoạch phát_triển trong tương_lai 56 báo_cáo đánh_giá liên_quan đến trách_nhiệm về môi_trường và xã hộ 57 tình_hình hoạt_động trong năm 2024 28 quản_trị công_ty 58 tổng_quan về kinh_tế và thị_trường_chứng_khoán việt_nam năm 2024 30 hội_đồng thành_viên 60 tình_hình hoạt_động kinh_doanh năm 2024 33 ban kiểm_soát 60 tổ_chức và nhân_sự 33 các giao_dịch thù_lao và các khoản lợi_ích của hội_đồng thành_viên ban tổng_giám_đốc và ban kiểm_soát 61 tình_hình đầu_tư tình_hình thực_hiện các dự_án 40 tình_hình tài_chính 40 mạng_lưới hoạt_động 62 cơ_cấu cổ_đông thay_đổi vốn đầu_tư của chủ_sở_hữu 42 62 báo_cáo tác_động liên_quan đến môi_trường và xã_hội của công_ty 43 báo_cáo tài_chính kiểm_toán 64 01 thông_tin chung thông_điệp của chủ_tịch hội_đồng thành_viên 06 thông_tin khái_quát 08 quá_trình hình_thành và phát_triển 10 ngành_nghề và địa_bàn kinh_doanh 22 thông_tin về mô_hình quản_trị tổ_chức kinh_doanh và bộ_máy quản_lý 24 định_hướng phát_triển 24 các rủi_ro và công_tác quản_trị rủi_ro 25 thông_điệp của chủ_tịch hội_đồng thành_viên năm 2024 tiếp_tục chứng_kiến những biến_động mạnh_mẽ về bối_cảnh kinh_tế và địa_chính_trị toàn_cầu,Tuân thủ Kinh tế Xã hội,Quản trị,0.6303977966308594,0.3264251947402954
tăng_trưởng kinh_tế có cải_thiện nhưng sự phân_hoá giữa các khu_vực ngày_càng rõ_rệt,Hiệu quả Kinh tế,Quản trị,0.6910068392753601,0.4854639768600464
trong khi các nền kinh_tế phát_triển thu_hút dòng vốn mạnh_mẽ các nền kinh_tế đang phát_triển phải đối_mặt với sự phục_hồi chậm_chạp và dòng vốn tháo_chạy,Hiệu quả Kinh tế,Quản trị,0.5762932896614075,0.3800323009490967
các cuộc xung_đột quân_sự kéo_dài như nga ukraine và tình_hình căng_thẳng tại trung_đông tiếp_tục gây gián_đoạn chuỗi cung_ứng toàn_cầu ảnh_hưởng đến giá_cả và tăng_trưởng kinh_tế,Hiệu quả Kinh tế,Quản trị,0.9128434062004089,0.4486130475997925
thị_trường_chứng_khoán việt_nam trước những thách_thức của nền kinh_tế thế_giới tiếp_tục đánh_dấu một năm nhiều thăng_trầm,Hiệu quả Kinh tế,Quản trị,0.5103409886360168,0.2505957782268524
"mặc_dù có khởi_đầu tương_đối thuận_lợi và tích_cực vn-index ghi_nhận xu_hướng giảm dần từ đầu 2/2024 cho đến giai_đoạn cuối năm sau đó kết_thúc năm 2024 1.266,78 điểm tăng 12,1% so với 2023 với thanh khoản thị_trường đạt bình_quân 21.027 tỷ phiên trên cả ba sàn",Đánh giá Nhân quyền,Xã hội,0.4700695276260376,0.24247616529464722
mặc_dù phải đối_mặt với những diễn_biến phức_tạp và khó lường của thị_trường_chứng_khoán vcbs đã đạt được những kết_quả kinh_doanh tích_cực so với các công_ty trên thị_trường,Việc làm,Xã hội,0.7173078060150146,0.2658437192440033
"tổng doanh_thu của công_ty đạt 1.519,7 tỷ đồng với tổng lợi_nhuận trước thuế đạt 633,76 tỷ đồng",Chính sách Công,Quản trị,0.6767957210540771,0.37020814418792725
về thị_phần kinh_doanh năm 2025 vcbs lọt top 10 công_ty chứng_khoán ctck có thị_phần môi_giới cổ_phiếu lớn nhất trên cả ba sàn hose hnx và upcom,Sức khỏe Tài chính và Hòa nhập,Xã hội,0.49563413858413696,0.25935330986976624
bên cạnh đó đối_với công_tác phát_triển và mở_rộng tập khách_hàng vcbs cũng đạt được những thành_tựu nhất_định,Việc làm,Xã hội,0.6100579500198364,0.36800265312194824
