sentence,predicted_topic,predicted_pillar,pillar_confidence,topic_confidence
"| MỤC LỤC | Thông tin chung | 04 | Báo cáo của Ban Tổng Giám đốc | 48 | |---------------------------------------------------------------------|------|-------------------------------------------------------------------|------| | Thông điệp của Chủ tịch Hội đồng thành viên và Tổng Giám đốc | 06 | Đánh giá kết quả hoạt động kinh doanh năm 2024 | 50 | | Thông tin khái quát | 08 | • Khách hàng Tổ chức | 50 | | Quá trình hình thành và phát triển | 10 | • Khách hàng doanh nghiệp | 52 | | Ngành nghề và địa bàn kinh doanh | 22 | • Khách hàng cá nhân | 54 | | Thông tin về mô hình quản trị, tổ chức kinh doanh và bộ máy quản lý | 24 | Tình hình tài chính năm 2024 | 56 | | Định hướng phát triển | 24 | Những cải tiến về cơ cấu tổ chức, chính sách, quản l | 56 | | Các rủi ro và Công tác Quản trị rủi ro | 25 | Kế hoạch phát triển trong tương lai | 56 | | | | Báo cáo đánh giá liên quan đến trách nhiệm về môi trường và xã hộ | 57 | | Tình hình hoạt động trong năm 2024 | 28 | Quản trị công ty | 58 | | Tổng quan về kinh tế và thị trường chứng khoán Việt Nam năm 2024 | 30 | Hội đồng thành viên | 60 | | Tình hình hoạt động kinh doanh năm 2024 | 33 | Ban kiểm soát | 60 | | Tổ chức và nhân sự | 33 | Các giao dịch, thù lao và các khoản lợi ích của Hội đồng thành viên Ban Tổng Giám đốc và Ban kiểm soát | 61 | | Tình hình đầu tư, tình hình thực hiện các dự án | 40 | | | | Tình hình tài chính | 40 | Mạng lưới hoạt động | 62 | | Cơ cấu cổ đông, thay đổi vốn đầu tư của chủ sở hữu | 42 | | 62 | | Báo cáo tác động liên quan đến môi trường và xã hội của công ty | 43 | Báo cáo tài chính kiểm toán | 64 | | 01 THÔNG TIN CHUNG | Thông điệp của Chủ tịch Hội đồng thành viên | 06 | |---------------------------------------------------------------------|------| | Thông tin khái quát | 08 | | Quá trình hình thành và phát triển | 10 | | Ngành nghề và địa bàn kinh doanh | 22 | | Thông tin về mô hình quản trị, tổ chức kinh doanh và bộ máy quản lý | 24 | | Định hướng phát triển | 24 | | Các rủi ro và Công tác Quản trị rủi ro | 25 | THÔNG ĐIỆP CỦA CHỦ TỊCH HỘI ĐỒNG THÀNH VIÊN Năm 2024 tiếp tục chứng kiến những biến động mạnh mẽ về bối cảnh kinh tế và địa chính trị toàn cầu.",Chính sách Công,Quản trị,0.6386904716491699,0.3701931834220886
"Tăng trưởng kinh tế có cải thiện, nhưng sự phân hóa giữa các khu vực ngày càng rõ rệt.",Hiệu quả Kinh tế,Quản trị,0.7240100502967834,0.5161529183387756
"Trong khi các nền kinh tế phát triển thu hút dòng vốn mạnh mẽ, các nền kinh tế đang phát triển phải đối mặt với sự phục hồi chậm chạp và dòng vốn tháo chạy.",Tuân thủ Kinh tế Xã hội,Quản trị,0.6033543944358826,0.34574127197265625
"Các cuộc xung đột quân sự kéo dài, như Nga – Ukraine và tình hình căng thẳng tại Trung Đông, tiếp tục gây gián đoạn chuỗi cung ứng toàn cầu, ảnh hưởng đến giá cả và tăng trưởng kinh tế.",Hiệu quả Kinh tế,Quản trị,0.8835394382476807,0.5842100381851196
"Thị trường Chứng khoán Việt Nam, trước những thách thức của nền kinh tế thế giới, tiếp tục đánh dấu một năm nhiều thăng trầm.",Tuân thủ Kinh tế Xã hội,Quản trị,0.6578310132026672,0.23376606404781342
"Mặc dù có khởi đầu tương đối thuận lợi và tích cực, VN-Index ghi nhận xu hướng giảm dần từ đầu Q2/2024 cho đến giai đoạn cuối năm, sau đó kết thúc năm 2024 ở 1.266,78 điểm, tăng 12,1% so với 2023 với thanh khoản thị trường đạt bình quân 21.027 tỷ/phiên trên cả ba sàn.",Chính sách Công,Quản trị,0.4834270775318146,0.24478954076766968
"Mặc dù phải đối mặt với những diễn biến phức tạp và khó lường của thị trường Chứng khoán, VCBS đã đạt được những kết quả kinh doanh tích cực so với các công ty trên thị trường.",Tuân thủ Kinh tế Xã hội,Quản trị,0.5931090116500854,0.3914025127887726
"Tổng doanh thu của Công ty đạt 1.519,7 tỷ đồng với tổng lợi nhuận trước thuế đạt 633,76 tỷ đồng.",Chính sách Công,Quản trị,0.6558233499526978,0.2895398437976837
"Về thị phần kinh doanh, năm 2025, VCBS lọt top 10 Công ty Chứng khoán (CTCK) có thị phần môi giới cổ phiếu lớn nhất trên cả ba sàn HOSE, HNX và UPCoM.",Việc làm,Xã hội,0.4449765384197235,0.21278226375579834
"Bên cạnh đó, đối với công tác phát triển và mở rộng tập khách hàng VCBS cũng đạt được những thành tựu nhất định.",Tuân thủ Kinh tế Xã hội,Quản trị,0.590469479560852,0.6183165907859802
"Với việc phát triển tính năng mới trên VCBS Mobile App cũng như liên kết App Vietcombank Digibank và đặc biệt là ra mắt thành công tính năng E-Contract – Ký kết hợp đồng mở tài khoản điện tử, VCBS ghi nhận hơn 27.000 tài khoản mở mới thành công trong năm 2024.",Chính sách Công,Quản trị,0.8134517669677734,0.26323193311691284
"Với sự thành công của tính năng E-Contract, VCBS được vinh danh trong hạng mục ""TOP 10 Ngân hàng, Bảo hiểm, Chứng khoán"" với sản phẩm ""Giải pháp mở tài khoản E-Contract"" trong khuôn khổ Chương trình ""Tin dùng Việt Nam 2024"" do Tạp chí Kinh tế Việt Nam – VnEconomy tổ chức.",Chính sách Công,Quản trị,0.5723913908004761,0.3427127003669739
